Asparagus fern,Asparagus densiflorus ‘Myersii’, asparagus_fern
Fall Obedient Plant,Phystostegia virginiana ‘Pink Manners’, obedient_plant
Firecracker fern,Rusellia equisetiformis ‘Lutea’, firecracker_plant
Gopher plant,Euphorbia rigida,
Gregg’s Mistflower,Conoclinium greggii, gregg_mistflower
Hill Country Penstemon,Penstemon triflorus, scarlet_penstemon
Pink Mexican Turk’s Cap,Malvaviscus arboreus var. mexicanus PINK, turks_cap_pink
Plumbago,Plumbago auriculata, plumbago
Texas Sotol,Dasylirion texanum, texas_sotol
